,EPI,Country,Region,Population,GDP,Health,Air Quality,PM2.5,Household solid fuels,Ozone,Sanitation & Drinking Water,Unsafe Sanitation,Unsafe Drinking water,Heavy Metals,Lead,Waste Management,Solid waste,Ecosystem Vitality,Biodiversity,Terrestrial biomes national,Terrestrial biomes global,Marine protected areas,Protected Areas Rep. Ind.,Species Habitat Index,Species Protection Index,Biodiversity Habitat Index,Ecosystem Services,Tree cover loss,Grassland loss,Wetland loss,Fisheries,Fish Stock Status,Marine Trophic Index,Fish caught by trawling,Climate Change,CO2 growth rate,CH4 growth rate,F-gas growth rate,N2O growth rate,Black Carbon growth rate,CO2 from land cover,GHG intensity trend,GHG per capita,Pollution Emissions,SO2 growth rate,NOx growth rate,Agriculture,Sustainable N Mgmt Index,Water Resources,Wastewater treatment
36,52.9,Colombia,Latin America & Caribbean,50882884,271437596294,55.0,49.1,50.1,46.0,62.5,55.8,64.6,49.9,61.9,61.9,100.0,100.0,51.6,76.8,83.3,77.3,100.0,52.2,68.9,69.3,56.4,36.4,33.3,62.0,66.6,15.8,17.1,12.6,18.1,55.4,39.1,90.3,81.0,98.2,25.8,70.5,57.2,57.2,52.5,58.5,46.4,22.3,22.3,25.6,25.6
105,52.6,Mexico,Latin America & Caribbean,128932753,1073915880823,47.5,40.8,42.2,39.5,36.4,52.8,57.2,49.8,45.7,45.7,74.3,74.3,55.9,72.9,80.4,85.2,100.0,21.2,67.7,51.8,57.1,32.5,29.8,68.0,46.9,12.8,7.3,18.4,,65.2,59.5,69.0,100.0,53.2,81.3,61.9,57.9,39.3,71.4,65.5,77.2,38.8,38.8,31.6,31.6
39,52.5,Costa Rica,Latin America & Caribbean,5094114,61846895121,60.5,56.2,57.4,54.0,61.0,66.1,82.5,55.2,53.8,53.8,64.8,64.8,47.2,70.1,99.0,98.0,23.2,56.2,72.8,88.5,43.4,35.4,34.3,58.3,33.9,10.8,10.4,11.0,10.9,54.8,43.3,63.4,89.6,45.7,86.5,83.2,45.5,63.3,33.6,55.1,12.1,19.4,19.4,9.7,9.7
5,52.3,Armenia,Former Soviet States,2963234,12641209802,43.5,36.3,22.1,57.0,26.1,57.2,50.7,61.5,50.8,50.8,0.0,0.0,58.1,79.2,100.0,100.0,,19.0,92.4,74.5,48.0,81.5,82.4,45.8,100.0,,,,,46.7,39.3,54.7,89.4,0.0,57.6,97.3,23.0,60.3,46.8,50.6,43.0,57.6,57.6,8.8,8.8
4,52.2,Argentina,Latin America & Caribbean,45376763,389288056265,60.2,56.9,54.7,60.9,48.7,64.7,72.7,59.3,73.1,73.1,44.6,44.6,46.8,49.1,41.7,56.7,43.0,16.2,69.4,64.3,58.9,29.4,27.6,47.3,44.5,3.2,0.7,6.2,2.6,60.2,48.2,88.1,90.7,58.0,90.3,57.8,36.2,29.8,59.3,67.3,51.3,78.4,78.4,5.9,5.9
22,51.2,Brazil,Latin America & Caribbean,212559409,1444733258972,49.7,50.0,56.6,42.3,38.6,46.1,47.7,45.1,58.9,58.9,65.8,65.8,52.2,78.1,87.3,80.0,100.0,51.8,45.4,86.5,63.1,27.9,24.6,65.5,49.6,8.3,8.3,,,51.7,41.4,66.2,96.5,47.6,53.9,78.1,24.7,43.6,54.0,65.4,42.5,65.0,65.0,49.3,49.3
16,51.0,Bahrain,Greater Middle East,1701583,34729228723,49.2,41.2,16.5,77.4,23.1,56.6,66.6,49.9,58.7,58.7,60.4,60.4,52.2,18.9,14.7,14.7,10.3,2.0,,,69.7,100.0,,,100.0,0.0,,0.0,,67.1,73.0,27.1,95.7,56.1,100.0,,77.0,0.0,93.1,95.1,91.1,33.2,33.2,86.9,86.9
49,51.0,Ecuador,Latin America & Caribbean,17643060,98808010000,50.2,48.7,46.2,50.0,66.0,50.2,55.7,46.5,63.0,63.0,53.6,53.6,51.5,77.3,91.0,77.4,100.0,47.4,74.3,66.1,48.9,38.3,38.6,36.2,34.4,13.5,9.0,18.0,,60.2,45.7,97.4,89.7,82.0,34.7,55.5,56.1,55.9,28.4,25.2,31.6,29.2,29.2,0.0,0.0
137,50.5,Russia,Former Soviet States,144104080,1483497784868,53.0,54.1,46.9,63.7,56.2,55.4,55.1,55.7,72.2,72.2,3.2,3.2,48.8,54.1,52.9,56.4,18.0,22.5,89.5,94.9,79.4,28.6,26.3,55.1,43.0,4.3,3.8,6.6,2.2,59.9,56.9,59.8,86.0,52.7,100.0,53.9,36.2,9.2,81.0,75.7,86.3,60.5,60.5,18.5,18.5
165,49.5,Ukraine,Former Soviet States,44134693,155498989150,49.0,39.8,30.6,51.1,50.6,55.1,55.2,55.0,69.3,69.3,73.1,73.1,49.9,37.7,23.8,26.0,26.1,17.5,84.2,80.4,43.0,30.2,25.2,62.7,86.9,12.4,11.8,20.1,4.1,69.2,61.9,87.4,87.9,66.2,80.9,57.0,68.2,42.5,76.6,64.9,88.4,79.5,79.5,14.1,14.1
166,49.1,Uruguay,Latin America & Caribbean,3473727,53628827440,67.7,67.7,71.0,64.6,56.1,70.8,84.5,61.6,62.3,62.3,48.9,48.9,36.7,25.0,20.0,20.1,3.3,6.6,72.2,32.6,52.0,21.0,16.7,81.6,38.0,6.5,7.1,5.9,,55.5,48.7,87.3,73.9,73.4,3.3,23.7,64.7,21.0,36.4,54.7,18.1,71.4,71.4,2.1,2.1
2,49.0,Albania,Eastern Europe,2837743,14887629268,44.5,41.2,44.2,34.6,60.1,54.0,59.7,50.2,46.1,46.1,0.0,0.0,52.0,68.2,100.0,100.0,14.7,38.6,82.1,92.2,39.6,43.2,41.1,70.2,54.4,8.9,,16.2,0.4,56.8,41.2,79.2,89.4,61.9,100.0,78.4,36.4,58.3,100.0,100.0,100.0,37.6,37.6,2.7,2.7
6,48.5,Antigua and Barbuda,Latin America & Caribbean,97928,1370281481,55.5,57.5,44.6,69.8,100.0,50.0,57.5,45.0,60.5,60.5,75.1,75.1,43.8,55.7,90.3,87.3,1.2,53.8,,,34.0,38.8,35.4,39.8,100.0,5.0,1.4,8.6,,58.5,48.4,100.0,89.8,77.8,0.0,79.7,22.0,35.2,36.6,28.2,45.0,5.1,5.1,1.3,1.3
169,48.4,Saint Vincent and the Grenadines,Latin America & Caribbean,110947,807474074,44.1,42.6,32.1,50.0,100.0,43.5,47.4,41.0,34.7,34.7,72.8,72.8,51.3,47.6,68.4,63.7,2.1,70.2,,,42.6,56.5,57.2,100.0,0.0,18.5,,18.5,,70.2,67.2,88.3,89.4,70.8,36.2,60.0,50.4,68.5,38.9,38.6,39.2,35.4,35.4,0.8,0.8
40,48.4,Cuba,Latin America & Caribbean,11326616,107352000000,50.5,53.9,47.1,63.1,56.3,49.6,55.2,45.9,48.3,48.3,25.9,25.9,47.0,51.1,58.9,69.3,15.1,33.5,95.7,45.0,50.1,25.2,21.3,65.5,55.2,10.0,2.9,17.2,,64.2,49.0,93.0,89.5,69.5,100.0,93.5,46.1,48.4,76.1,62.5,89.6,21.4,21.4,3.6,3.6
82,48.2,Jamaica,Latin America & Caribbean,2961161,13812425037,45.5,43.6,43.7,42.7,49.5,49.3,52.4,47.2,48.9,48.9,31.7,31.7,50.0,58.2,84.7,96.6,1.5,39.3,53.5,80.7,42.8,35.2,34.4,49.2,35.9,4.7,0.7,8.7,,65.7,60.1,70.1,89.7,79.7,83.3,56.9,42.8,59.3,78.6,76.2,80.9,22.4,22.4,3.0,3.0
77,48.0,Iran,Greater Middle East,83992953,203471303952,48.3,49.2,26.5,82.8,29.4,53.6,60.9,48.7,27.4,27.4,19.0,19.0,47.8,38.4,40.9,35.2,1.2,8.5,95.8,62.6,62.8,88.8,93.2,52.1,45.4,13.8,10.3,20.8,9.6,55.0,42.3,51.5,100.0,67.3,72.8,87.2,86.1,21.8,80.8,99.6,62.0,33.8,33.8,3.7,3.7
117,47.9,Malaysia,Asia-Pacific,32365998,337006066373,55.4,50.3,36.5,70.7,40.1,57.6,71.8,48.1,62.1,62.1,81.4,81.4,42.9,55.1,100.0,100.0,8.6,14.6,0.0,61.7,57.1,12.8,12.7,14.8,,8.6,11.1,,5.7,52.8,40.1,63.7,89.3,100.0,52.7,49.0,55.8,23.7,41.2,43.3,39.0,63.4,63.4,12.4,12.4
160,47.5,Trinidad and Tobago,Latin America & Caribbean,1399491,21588037505,54.6,57.2,30.1,89.6,96.0,53.4,60.9,48.3,82.0,82.0,10.4,10.4,42.9,67.8,99.4,98.8,0.4,92.2,,,52.6,35.9,36.4,31.5,30.3,11.8,9.8,18.3,6.7,42.1,51.7,3.6,,45.6,85.9,72.0,10.8,0.0,77.9,100.0,55.7,5.2,5.2,3.2,3.2
128,47.3,Panama,Latin America & Caribbean,4314768,53977036995,50.4,56.0,61.7,47.3,62.7,43.5,46.5,41.6,57.5,57.5,42.0,42.0,45.2,60.4,92.7,75.3,9.3,44.8,80.3,78.9,45.8,33.1,33.0,45.1,24.2,9.1,6.2,11.9,,50.3,36.0,88.7,,71.7,32.2,73.6,72.9,56.6,66.1,72.4,59.9,25.6,25.6,23.1,23.1
161,46.7,Tunisia,Greater Middle East,11818618,41620349986,49.2,48.7,26.2,81.1,36.3,52.6,58.0,48.9,36.5,36.5,39.6,39.6,45.0,37.1,32.0,37.1,9.9,4.1,90.9,59.3,58.4,22.5,16.0,61.8,100.0,18.3,24.6,11.9,,60.2,59.0,69.6,,67.7,76.5,0.0,51.4,61.0,84.2,91.0,77.3,24.3,24.3,43.0,43.0
