Country,EPI,Health,Air,PM2.5,Household solid fuels,Ozone,Sanitation & Drinking Water,Unsafe Sanitation,Unsafe Drinking water,Heavy Metals,Lead,Waste Management,Solid waste,Ecosystem Vitality,Biodiversity,Terrestrial biomes national,Terrestrial biomes global,Marine protected areas,Protected Areas Rep. Ind.,Species Habitat Index,Species Protection Index,Biodiversity Habitat Index,Ecosystem Services,Tree cover loss,Grassland loss,Wetland loss,Fisheries,Fish Stock Status,Marine Trophic Index,Fish caught by trawling,Climate Change,CO2 growth rate,CH4 growth rate,F-gas growth rate,N2O growth rate,Black Carbon growth rate,CO2 from land cover,GHG intensity trend,GHG per capita,Pollution Emissions,SO2 growth rate,NOx growth rate,Agriculture,Sustainable N Mgmt Index,Water Resources,Wastewater treatment
Bhutan,39.3,29.8,24.4,30.6,18.6,2.1,31.2,30.8,31.4,43.3,43.3,59.7,59.7,45.7,87.2,100.0,100.0,,50.7,96.6,98.3,52.3,60.2,56.4,88.1,100.0,,,,,24.7,0.0,80.0,,74.4,39.8,31.9,44.5,61.1,18.2,31.7,4.7,50.2,50.2,0.0,0.0
Bolivia,44.3,35.9,32.4,34.5,28.4,39.8,40.0,42.5,38.3,43.7,43.7,31.1,31.1,49.8,83.6,97.1,96.7,,50.5,75.0,90.3,65.8,30.0,28.2,47.6,43.6,,,,,40.0,29.6,48.6,91.3,56.5,2.7,58.2,45.2,26.3,26.4,38.1,14.6,68.9,68.9,3.5,3.5
Bosnia and Herzegovina,45.4,43.9,31.6,29.3,33.5,40.8,61.4,67.8,57.1,42.9,42.9,27.9,27.9,46.4,32.9,8.1,13.0,,41.8,88.3,41.5,49.0,53.4,54.3,47.3,43.0,,,,,57.5,52.9,69.5,90.6,24.8,75.7,62.6,32.8,28.6,78.1,64.8,91.3,25.1,25.1,1.1,1.1
Botswana,40.4,20.2,19.7,17.8,20.8,31.4,20.8,21.9,20.1,39.8,39.8,0.7,0.7,53.8,91.6,100.0,100.0,,70.7,96.0,93.4,72.5,66.1,68.9,49.5,34.0,,,,,37.9,10.7,100.0,,100.0,6.6,84.6,100.0,30.5,70.0,95.8,44.2,4.8,4.8,1.0,1.0
Brazil,51.2,49.7,50.0,56.6,42.3,38.6,46.1,47.7,45.1,58.9,58.9,65.8,65.8,52.2,78.1,87.3,80.0,100.0,51.8,45.4,86.5,63.1,27.9,24.6,65.5,49.6,8.3,8.3,,,51.7,41.4,66.2,96.5,47.6,53.9,78.1,24.7,43.6,54.0,65.4,42.5,65.0,65.0,49.3,49.3
Brunei Darussalam,54.8,74.0,68.4,63.4,75.8,65.0,85.6,94.3,79.7,68.4,68.4,42.5,42.5,42.0,59.2,100.0,100.0,1.2,12.7,,,58.8,34.4,34.4,,,9.3,,12.6,5.5,50.9,44.0,75.7,89.4,55.8,35.1,54.8,11.1,0.0,41.8,9.5,74.0,0.0,0.0,6.0,6.0
Bulgaria,57.0,50.3,33.0,28.2,38.2,45.7,68.3,84.0,57.8,45.8,45.8,83.6,83.6,61.5,77.7,100.0,100.0,55.8,37.0,83.6,100.0,44.8,41.4,41.0,51.8,38.9,12.9,,16.6,8.7,69.5,60.2,100.0,82.2,58.2,100.0,77.4,50.3,29.8,100.0,100.0,100.0,63.6,63.6,13.9,13.9
Burkina Faso,38.3,19.6,28.9,44.7,6.2,37.4,7.7,7.7,7.8,29.7,29.7,10.2,10.2,50.9,77.8,87.2,87.2,,35.1,85.6,99.6,53.0,95.5,100.0,65.7,43.9,,,,,31.9,21.6,37.2,,43.5,44.5,84.2,55.2,79.7,40.6,47.7,33.5,39.7,39.7,0.0,0.0
Burundi,27.0,21.9,36.0,57.9,7.4,24.1,5.3,5.4,5.2,35.8,35.8,0.0,0.0,30.5,52.3,46.7,46.7,,25.3,90.7,67.1,48.5,34.7,32.7,66.5,39.2,,,,,16.8,4.3,26.6,,39.8,41.3,47.0,20.8,100.0,45.7,45.2,46.2,37.0,37.0,0.0,0.0
Cabo Verde,32.8,30.4,26.5,21.4,30.3,50.9,35.5,37.2,34.4,59.5,59.5,0.0,0.0,34.5,14.3,16.9,16.9,0.0,2.1,,,45.2,93.7,,87.4,100.0,20.7,10.6,30.8,,39.5,30.6,54.7,,100.0,56.4,0.0,15.2,77.3,35.1,44.7,25.6,16.7,16.7,20.9,20.9
Cambodia,33.6,30.5,30.1,43.2,11.2,37.4,34.2,35.8,33.2,35.0,35.0,0.0,0.0,35.6,60.1,100.0,100.0,0.0,31.0,26.4,94.2,49.1,19.0,13.8,51.0,80.8,11.3,5.2,18.6,9.9,30.9,11.7,77.3,,72.9,0.0,12.6,79.2,73.8,45.4,41.4,49.4,59.0,59.0,0.0,0.0
Cameroon,33.6,13.6,16.4,16.4,14.7,29.6,7.7,8.3,7.4,36.1,36.1,10.2,10.2,46.9,48.6,57.5,68.0,0.0,27.4,85.3,59.4,63.1,31.5,30.3,47.8,35.8,10.5,,8.8,12.5,66.4,50.5,100.0,100.0,62.4,77.3,25.9,79.7,80.7,39.8,39.1,40.4,40.4,40.4,0.0,0.0
Canada,71.0,91.7,94.8,94.8,100.0,53.0,88.0,83.9,90.8,96.6,96.6,84.7,84.7,57.3,60.5,62.8,67.5,27.0,28.8,81.2,98.2,82.4,30.1,26.7,60.2,61.7,11.0,5.1,20.8,6.5,65.7,59.9,84.4,91.6,58.3,78.2,62.0,50.6,2.7,100.0,100.0,100.0,67.3,67.3,67.4,67.4
Central African Republic,36.9,12.2,22.0,36.8,2.8,12.5,0.0,0.0,0.0,24.0,24.0,0.0,0.0,53.5,84.7,97.0,97.0,,34.1,98.5,91.7,65.5,50.7,48.6,95.9,42.7,,,,,45.4,38.6,72.0,,71.3,61.1,43.7,0.0,44.7,51.8,55.7,47.9,21.9,21.9,0.0,0.0
Chad,26.7,14.9,26.8,42.4,5.3,28.4,0.0,0.0,0.0,29.1,29.1,0.0,0.0,34.6,69.0,68.1,77.4,,19.2,91.3,83.3,67.0,22.2,18.6,52.1,57.0,,,,,17.4,20.7,0.0,,0.0,43.5,37.6,0.0,46.5,54.7,57.6,51.7,38.7,38.7,0.0,0.0
Chile,55.3,63.4,56.1,53.0,59.5,62.1,68.1,70.1,66.7,97.8,97.8,65.7,65.7,49.8,65.3,61.2,44.6,100.0,31.9,88.3,53.1,68.4,27.5,25.2,55.7,41.9,16.6,5.9,19.2,26.1,54.3,43.5,79.8,77.9,100.0,20.0,54.9,46.2,39.2,34.6,50.5,18.7,40.2,40.2,71.9,71.9
China,37.3,41.8,27.1,23.4,33.0,20.3,59.4,61.1,58.2,37.6,37.6,51.8,51.8,34.4,19.0,4.6,8.5,1.6,20.2,72.2,10.4,57.6,34.3,32.6,56.1,43.7,18.0,19.8,28.9,3.3,46.3,38.7,39.3,88.9,57.2,38.0,35.7,77.3,27.7,58.6,75.8,41.5,49.5,49.5,9.4,9.4
Colombia,52.9,55.0,49.1,50.1,46.0,62.5,55.8,64.6,49.9,61.9,61.9,100.0,100.0,51.6,76.8,83.3,77.3,100.0,52.2,68.9,69.3,56.4,36.4,33.3,62.0,66.6,15.8,17.1,12.6,18.1,55.4,39.1,90.3,81.0,98.2,25.8,70.5,57.2,57.2,52.5,58.5,46.4,22.3,22.3,25.6,25.6
Comoros,32.1,27.3,37.7,54.7,11.5,60.1,15.2,15.0,15.3,47.1,47.1,0.0,0.0,35.3,36.3,60.0,60.0,0.2,14.1,,,35.6,35.7,32.1,100.0,,18.6,23.8,13.4,,41.7,35.3,25.0,89.5,59.8,53.5,0.0,28.8,100.0,44.5,47.4,41.6,37.3,37.3,0.1,0.1
Costa Rica,52.5,60.5,56.2,57.4,54.0,61.0,66.1,82.5,55.2,53.8,53.8,64.8,64.8,47.2,70.1,99.0,98.0,23.2,56.2,72.8,88.5,43.4,35.4,34.3,58.3,33.9,10.8,10.4,11.0,10.9,54.8,43.3,63.4,89.6,45.7,86.5,83.2,45.5,63.3,33.6,55.1,12.1,19.4,19.4,9.7,9.7
Cote d'Ivoire,25.8,19.4,20.3,25.9,10.6,36.3,17.2,17.7,16.9,44.9,44.9,2.1,2.1,30.1,62.0,100.0,98.1,1.0,45.1,32.3,95.1,49.6,15.7,11.8,46.3,55.2,16.9,10.2,23.6,,20.2,6.6,40.4,,42.6,15.2,44.3,43.5,91.7,31.8,40.4,23.3,32.0,32.0,0.6,0.6
Croatia,63.1,61.2,50.8,46.4,58.3,39.0,70.2,80.8,63.1,75.1,75.1,80.0,80.0,64.3,82.6,100.0,100.0,74.9,44.5,88.9,100.0,42.6,40.3,39.0,49.3,55.6,11.8,21.8,3.3,10.1,70.0,59.4,93.2,93.4,100.0,80.7,62.0,49.7,38.9,90.8,100.0,81.7,65.4,65.4,51.7,51.7
Cyprus,64.8,81.5,73.1,58.8,97.7,34.2,93.9,97.5,91.6,69.4,69.4,77.5,77.5,53.7,56.5,100.0,100.0,0.5,14.6,,,36.4,38.6,37.7,54.9,38.8,20.2,10.4,30.0,,63.1,59.3,56.5,94.6,76.1,100.0,43.5,37.9,31.2,91.5,100.0,83.1,27.7,27.7,50.0,50.0
Czech Republic,71.0,68.3,58.8,49.1,74.5,40.7,76.4,93.5,65.0,76.4,76.4,89.5,89.5,72.9,85.7,100.0,100.0,,49.4,87.0,100.0,48.9,26.7,24.0,75.6,26.8,,,,,76.3,73.9,84.7,83.5,99.2,97.0,50.8,60.7,20.4,100.0,100.0,100.0,58.7,58.7,60.8,60.8
Dem. Rep. Congo,36.4,22.4,29.9,45.4,9.8,21.7,13.5,13.9,13.2,36.1,36.1,3.5,3.5,45.7,73.3,80.6,79.8,,27.7,78.0,86.2,74.0,27.7,25.2,49.2,51.5,,,,,40.1,25.9,56.9,,73.2,42.1,38.7,82.0,100.0,47.8,45.4,50.2,31.7,31.7,0.0,0.0
