Country,EPI,Health,Air,PM2.5,Household solid fuels,Ozone,Sanitation & Drinking Water,Unsafe Sanitation,Unsafe Drinking water,Heavy Metals,Lead,Waste Management,Solid waste,Ecosystem Vitality,Biodiversity,Terrestrial biomes national,Terrestrial biomes global,Marine protected areas,Protected Areas Rep. Ind.,Species Habitat Index,Species Protection Index,Biodiversity Habitat Index,Ecosystem Services,Tree cover loss,Grassland loss,Wetland loss,Fisheries,Fish Stock Status,Marine Trophic Index,Fish caught by trawling,Climate Change,CO2 growth rate,CH4 growth rate,F-gas growth rate,N2O growth rate,Black Carbon growth rate,CO2 from land cover,GHG intensity trend,GHG per capita,Pollution Emissions,SO2 growth rate,NOx growth rate,Agriculture,Sustainable N Mgmt Index,Water Resources,Wastewater treatment
Iceland,72.3,98.1,98.1,100.0,100.0,62.1,100.0,100.0,100.0,96.1,96.1,84.8,84.8,55.0,63.2,75.8,75.8,3.6,47.8,100.0,92.8,81.3,100.0,,100.0,100.0,10.1,2.8,24.0,2.4,60.8,44.9,100.0,92.3,67.6,100.0,,34.4,8.4,44.4,11.6,77.3,18.5,18.5,15.6,15.6
India,27.6,16.3,13.4,10.9,18.6,0.0,19.4,21.4,18.1,21.0,21.0,16.1,16.1,35.2,33.7,28.2,37.0,1.2,8.7,85.9,63.0,46.3,33.8,31.8,47.8,55.0,16.9,17.0,19.9,13.1,45.0,28.1,68.3,91.0,56.8,32.2,40.0,62.2,66.5,37.1,42.4,31.8,34.7,34.7,2.2,2.2
Indonesia,37.8,29.0,26.8,28.6,23.3,33.9,28.4,33.9,24.8,34.6,34.6,49.8,49.8,43.7,56.3,66.2,83.3,29.6,20.2,46.8,71.7,66.2,20.3,19.0,43.8,,11.9,11.9,16.3,6.7,54.4,52.1,30.2,100.0,51.0,57.1,41.2,67.6,58.5,40.4,68.3,12.6,51.8,51.8,0.0,0.0
Iran,48.0,48.3,49.2,26.5,82.8,29.4,53.6,60.9,48.7,27.4,27.4,19.0,19.0,47.8,38.4,40.9,35.2,1.2,8.5,95.8,62.6,62.8,88.8,93.2,52.1,45.4,13.8,10.3,20.8,9.6,55.0,42.3,51.5,100.0,67.3,72.8,87.2,86.1,21.8,80.8,99.6,62.0,33.8,33.8,3.7,3.7
Iraq,39.5,39.5,36.3,7.3,75.7,40.0,49.6,55.5,45.8,29.6,29.6,0.0,0.0,39.4,40.5,8.6,49.8,,2.7,98.1,37.2,69.5,91.8,96.3,49.4,54.9,,,,,31.6,8.0,56.0,100.0,62.0,34.5,53.5,33.0,37.0,14.1,7.2,21.1,37.4,37.4,19.5,19.5
Ireland,72.8,94.2,94.0,91.0,100.0,79.5,97.4,93.5,100.0,82.7,82.7,81.7,81.7,58.6,65.8,82.9,82.9,21.3,43.7,96.9,98.4,45.0,27.4,22.5,71.2,72.6,9.1,11.8,13.1,1.0,66.6,65.1,43.8,92.9,66.2,100.0,91.5,80.4,13.3,100.0,100.0,100.0,47.3,47.3,89.7,89.7
Israel,65.8,83.6,76.5,62.6,100.0,41.3,92.8,91.5,93.6,92.1,92.1,72.2,72.2,54.0,47.6,76.9,51.1,0.3,12.2,76.8,79.6,51.0,40.6,37.0,45.3,100.0,45.5,,45.5,,56.9,57.5,39.3,91.3,58.6,47.7,45.0,62.8,26.7,97.8,95.7,100.0,34.9,34.9,81.7,81.7
Italy,71.0,85.5,75.9,68.5,90.4,41.2,98.2,99.2,97.6,81.5,81.5,83.7,83.7,61.3,75.6,100.0,100.0,45.9,41.1,89.1,94.9,39.4,37.9,35.8,71.7,41.9,14.9,0.6,38.0,4.7,68.1,60.0,91.2,91.4,75.7,78.8,41.2,53.3,36.6,81.4,87.8,75.0,56.8,56.8,58.8,58.8
Jamaica,48.2,45.5,43.6,43.7,42.7,49.5,49.3,52.4,47.2,48.9,48.9,31.7,31.7,50.0,58.2,84.7,96.6,1.5,39.3,53.5,80.7,42.8,35.2,34.4,49.2,35.9,4.7,0.7,8.7,,65.7,60.1,70.1,89.7,79.7,83.3,56.9,42.8,59.3,78.6,76.2,80.9,22.4,22.4,3.0,3.0
Japan,75.1,90.3,85.9,78.0,100.0,60.2,95.0,100.0,91.6,100.0,100.0,86.5,86.5,65.1,76.6,100.0,100.0,71.5,28.3,68.6,69.1,56.9,41.7,42.9,19.6,41.0,35.2,1.1,93.5,7.0,69.5,57.6,100.0,87.6,100.0,100.0,65.1,36.2,23.0,77.7,56.4,99.0,55.9,55.9,75.3,75.3
Jordan,53.4,58.6,58.0,29.1,100.0,40.4,62.6,75.2,54.2,46.7,46.7,43.1,43.1,49.9,32.2,13.4,10.6,,10.9,92.1,38.7,68.0,78.9,79.6,46.0,100.0,,,,,58.4,59.1,40.1,89.3,37.6,67.7,45.8,55.4,68.7,69.0,37.9,100.0,25.0,25.0,18.6,18.6
Kazakhstan,44.7,40.8,32.0,26.6,40.7,22.0,55.1,54.0,55.8,52.8,52.8,2.2,2.2,47.3,41.6,18.7,24.2,,4.4,97.2,80.3,64.8,68.4,69.5,49.9,67.7,,,,,44.6,47.0,0.0,91.8,54.6,37.6,100.0,47.7,2.1,75.2,100.0,50.4,45.6,45.6,28.6,28.6
Kenya,34.7,25.7,34.9,49.9,13.9,39.2,13.6,13.7,13.6,50.6,50.6,5.5,5.5,40.6,53.5,69.9,67.5,4.0,26.2,85.3,84.1,56.5,31.1,27.8,53.2,68.9,8.6,5.2,12.1,,49.0,33.8,63.7,90.2,60.7,30.9,66.5,70.1,84.3,36.8,42.1,31.5,35.9,35.9,0.5,0.5
Kiribati,37.7,22.9,29.2,46.1,6.5,24.2,16.3,17.5,15.4,37.0,37.0,0.0,0.0,47.5,82.1,100.0,100.0,100.0,0.0,,,57.0,,,,,55.4,27.9,,87.4,32.2,21.3,53.2,,46.6,59.0,,16.3,95.4,49.9,80.1,19.8,26.5,26.5,0.0,0.0
Kuwait,53.6,57.3,55.0,24.2,98.7,44.1,67.4,82.9,57.0,56.8,56.8,0.0,0.0,51.2,66.0,98.4,98.4,1.2,9.2,91.6,92.9,70.2,48.4,,,48.4,14.9,,14.9,,49.7,48.1,60.8,91.5,33.8,7.3,,33.2,0.0,81.7,91.1,72.2,44.9,44.9,43.1,43.1
Kyrgyzstan,39.8,33.7,27.0,27.9,26.8,19.1,45.5,42.9,47.2,40.8,40.8,0.0,0.0,43.8,39.2,20.7,22.3,,20.6,93.4,55.1,58.7,91.1,93.6,47.1,,,,,,42.5,34.1,46.2,89.6,33.8,0.0,100.0,39.2,68.1,18.1,36.1,0.0,52.4,52.4,0.2,0.2
Laos,34.8,27.2,27.8,41.3,9.4,26.0,26.5,27.3,26.0,34.7,34.7,18.7,18.7,39.9,69.7,93.6,96.8,,29.6,6.4,83.3,57.6,16.6,13.6,43.0,44.6,,,,,30.7,17.7,43.4,,36.4,68.8,16.4,76.1,77.3,21.3,40.3,2.4,69.2,69.2,0.0,0.0
Latvia,61.6,58.0,54.8,53.2,55.2,69.8,59.0,61.1,57.5,78.4,78.4,61.4,61.4,64.0,86.7,100.0,100.0,100.0,31.9,75.9,100.0,59.4,21.4,18.2,43.2,58.2,7.3,3.5,14.4,3.5,67.7,65.8,70.9,90.2,48.7,96.7,62.5,41.7,35.3,94.8,100.0,89.7,62.8,62.8,90.7,90.7
Lebanon,45.4,53.1,47.8,25.0,80.3,38.7,59.7,79.4,46.6,43.6,43.6,61.4,61.4,40.3,21.8,15.1,15.1,0.0,13.5,84.6,25.7,34.2,36.6,33.1,100.0,,14.2,,14.2,,56.8,63.4,36.0,,34.0,58.0,61.2,63.7,63.9,67.1,63.1,71.1,34.1,34.1,38.2,38.2
Lesotho,28.0,11.8,15.3,18.8,10.0,18.9,7.2,7.4,7.1,25.0,25.0,0.0,0.0,38.8,22.5,1.4,1.4,,10.6,94.3,26.2,43.5,47.3,44.0,54.0,100.0,,,,,52.4,42.6,78.1,,89.1,47.0,26.7,54.4,70.5,44.0,43.3,44.7,27.4,27.4,0.3,0.3
Liberia,22.6,21.3,30.9,43.7,11.4,45.7,9.8,10.5,9.4,37.3,37.3,0.0,0.0,23.6,32.6,21.3,55.7,1.0,17.2,42.0,53.7,57.2,14.6,11.2,36.9,53.4,10.6,16.0,11.7,3.1,24.9,6.9,29.7,89.3,35.0,38.6,3.4,28.5,100.0,32.7,48.9,16.6,26.2,26.2,0.0,0.0
Lithuania,62.9,63.2,62.7,60.5,64.7,70.5,58.3,59.9,57.2,83.9,83.9,87.8,87.8,62.7,87.5,99.4,99.4,100.0,33.7,90.7,100.0,53.2,24.6,21.4,64.4,41.9,14.5,,19.0,9.2,65.9,55.2,100.0,80.4,93.6,72.1,51.9,45.2,24.9,96.6,97.3,95.9,64.1,64.1,51.4,51.4
Luxembourg,82.3,92.6,87.2,81.4,100.0,48.2,98.6,100.0,97.7,96.1,96.1,96.2,96.2,75.4,85.5,100.0,100.0,,64.6,,,48.5,34.3,30.7,100.0,,,,,,77.5,78.7,81.7,91.7,67.5,100.0,16.8,75.7,7.3,100.0,100.0,100.0,42.2,42.2,98.5,98.5
Madagascar,26.5,22.1,36.1,56.4,7.4,41.5,5.9,5.7,6.0,33.0,33.0,0.6,0.6,29.4,25.0,32.3,29.1,7.0,17.4,0.0,48.6,46.7,14.6,9.2,70.2,55.5,11.8,13.7,9.9,,39.9,12.6,86.1,89.7,67.1,49.9,26.1,47.8,89.4,40.5,41.6,39.4,50.5,50.5,0.0,0.0
Malawi,38.3,26.5,39.6,61.2,9.3,43.5,12.0,12.0,12.0,37.4,37.4,0.0,0.0,46.2,84.2,100.0,100.0,,41.1,92.8,89.2,50.7,22.8,20.2,37.9,54.5,,,,,34.2,37.3,14.8,,13.1,46.5,37.5,33.4,100.0,53.1,60.4,45.8,39.0,39.0,0.0,0.0
Malaysia,47.9,55.4,50.3,36.5,70.7,40.1,57.6,71.8,48.1,62.1,62.1,81.4,81.4,42.9,55.1,100.0,100.0,8.6,14.6,0.0,61.7,57.1,12.8,12.7,14.8,,8.6,11.1,,5.7,52.8,40.1,63.7,89.3,100.0,52.7,49.0,55.8,23.7,41.2,43.3,39.0,63.4,63.4,12.4,12.4
Maldives,35.6,48.0,51.2,61.3,40.6,24.4,47.8,53.3,44.1,55.4,55.4,9.6,9.6,27.4,6.5,2.4,2.4,0.5,10.4,,,31.4,78.2,77.0,100.0,,46.6,8.6,39.0,100.0,27.7,23.4,55.8,,1.2,0.0,,25.8,64.7,26.7,49.7,3.7,14.1,14.1,4.3,4.3
Mali,29.4,19.5,29.2,45.6,6.8,28.7,8.2,8.3,8.2,32.5,32.5,0.0,0.0,36.0,59.6,39.9,68.0,,11.4,97.0,84.6,67.9,23.4,19.3,58.1,63.7,,,,,26.3,20.6,30.4,,25.6,44.2,25.1,36.8,73.0,49.9,52.0,47.7,43.4,43.4,0.0,0.0
Malta,70.7,86.1,77.6,66.6,97.1,42.5,99.8,99.5,100.0,50.6,50.6,96.7,96.7,60.5,75.1,100.0,100.0,78.1,14.1,,,30.4,100.0,100.0,100.0,,12.2,16.7,7.8,,62.6,52.8,100.0,85.8,65.0,20.7,53.4,68.1,35.6,80.8,100.0,61.6,28.3,28.3,0.0,0.0
Mauritania,27.7,20.0,22.4,22.0,19.8,47.7,13.6,13.7,13.4,55.8,55.8,12.5,12.5,32.8,19.2,3.6,3.0,0.1,4.6,94.5,1.4,78.0,97.2,100.0,53.6,90.9,7.8,14.7,4.2,3.9,32.6,21.5,32.6,88.7,35.7,41.5,0.0,33.7,58.6,49.2,55.1,43.4,39.7,39.7,0.0,0.0
Mauritius,45.1,60.0,51.1,37.8,63.3,100.0,65.5,68.5,63.4,66.8,66.8,98.0,98.0,35.3,19.3,27.8,27.8,0.0,10.9,,,32.7,49.5,43.9,100.0,100.0,15.0,4.6,25.4,,51.0,43.2,47.4,88.6,39.9,97.3,34.1,43.5,52.4,49.2,50.9,47.5,20.0,20.0,2.5,2.5
Mexico,52.6,47.5,40.8,42.2,39.5,36.4,52.8,57.2,49.8,45.7,45.7,74.3,74.3,55.9,72.9,80.4,85.2,100.0,21.2,67.7,51.8,57.1,32.5,29.8,68.0,46.9,12.8,7.3,18.4,,65.2,59.5,69.0,100.0,53.2,81.3,61.9,57.9,39.3,71.4,65.5,77.2,38.8,38.8,31.6,31.6
Micronesia,33.0,30.8,29.0,31.0,17.4,100.0,35.5,39.4,32.9,41.5,41.5,0.0,0.0,34.5,6.9,0.0,0.0,0.1,3.0,,,51.7,100.0,100.0,,,32.7,0.0,,70.8,39.0,31.9,57.3,,45.7,77.8,,0.0,72.0,58.8,92.5,25.0,19.4,19.4,0.1,0.1
Moldova,44.4,45.6,44.3,41.7,46.8,53.4,50.0,48.9,50.6,54.7,54.7,13.8,13.8,43.6,27.9,20.9,22.1,,14.5,80.6,2.5,40.2,45.8,39.8,100.0,100.0,,,,,52.2,43.0,82.3,86.9,0.0,54.3,36.9,43.4,67.4,76.1,52.2,100.0,50.8,50.8,9.0,9.0
Mongolia,32.2,27.6,17.4,11.2,22.8,42.1,43.1,42.3,43.7,33.2,33.2,0.0,0.0,35.3,73.1,77.1,73.9,,23.5,93.9,97.9,67.2,41.7,38.6,71.4,68.0,,,,,16.6,7.7,0.0,69.4,14.0,12.0,100.0,33.3,1.1,34.9,25.5,44.4,15.4,15.4,3.3,3.3
Montenegro,46.3,46.7,33.9,31.2,34.8,55.2,65.6,78.9,56.7,65.2,65.2,5.3,5.3,46.1,36.6,46.8,48.4,0.6,45.1,75.8,5.5,48.2,44.3,41.2,44.9,100.0,6.6,,9.1,3.7,65.6,54.5,90.7,89.8,83.6,100.0,43.7,37.0,34.2,85.2,88.1,82.4,19.2,19.2,8.4,8.4
Morocco,42.3,33.3,27.0,14.0,44.6,30.0,40.8,47.2,36.6,28.9,28.9,39.6,39.6,48.3,67.4,100.0,100.0,0.5,45.8,80.7,95.7,51.1,40.8,35.8,70.3,100.0,16.7,22.9,23.0,1.9,48.7,47.0,56.0,,50.1,37.6,36.7,50.2,69.9,80.5,97.0,64.0,38.9,38.9,5.4,5.4
Mozambique,33.9,28.1,40.7,64.5,7.0,47.1,16.4,16.3,16.4,23.7,23.7,0.7,0.7,37.8,67.4,97.4,98.6,2.2,49.0,91.0,80.2,56.9,24.5,22.5,45.2,39.3,16.3,12.5,20.2,,31.1,0.0,61.6,88.0,88.6,46.1,43.8,62.1,86.6,54.1,74.9,33.3,34.4,34.4,0.2,0.2
Myanmar,25.1,24.6,20.7,27.0,12.3,18.3,30.8,32.3,29.9,38.2,38.2,0.0,0.0,25.4,31.0,31.4,15.5,3.6,16.7,67.9,69.3,54.8,25.9,23.4,55.1,41.2,9.4,12.6,9.5,5.7,22.2,0.0,65.0,,28.4,62.1,12.2,73.2,70.6,50.7,51.8,49.6,53.7,53.7,0.0,0.0
Namibia,40.2,22.5,24.4,27.2,20.4,26.4,19.6,20.8,18.8,44.5,44.5,4.2,4.2,52.0,76.6,100.0,100.0,16.8,78.9,86.4,94.4,72.7,55.1,52.1,65.3,98.1,8.6,16.7,7.8,0.0,55.4,38.8,100.0,,100.0,15.4,94.3,87.0,42.5,68.2,57.1,79.4,11.5,11.5,6.2,6.2
Nepal,32.7,21.0,14.6,16.3,14.1,0.0,27.0,29.0,25.7,27.2,27.2,30.5,30.5,40.5,62.6,76.3,45.7,,27.5,97.5,84.2,47.6,67.8,65.8,73.4,100.0,,,,,23.7,0.0,66.5,,32.9,65.8,81.1,45.0,85.5,44.4,39.2,49.5,45.8,45.8,0.0,0.0
Netherlands,75.3,91.0,82.4,72.8,100.0,47.5,100.0,100.0,100.0,95.1,95.1,100.0,100.0,64.8,83.7,99.8,93.5,100.0,39.0,78.0,94.1,39.3,42.8,40.6,82.7,41.5,13.1,8.3,28.6,0.7,65.8,57.8,100.0,100.0,14.0,85.1,64.1,40.9,17.0,100.0,100.0,100.0,40.0,40.0,100.0,100.0
New Zealand,71.3,88.0,97.4,100.0,97.6,67.4,80.4,89.4,74.4,75.5,75.5,68.0,68.0,60.2,84.0,91.0,90.9,100.0,56.5,81.2,81.1,57.2,28.2,24.9,60.0,56.6,5.4,7.3,,3.0,61.5,51.4,85.7,89.5,65.4,78.1,61.5,51.5,5.5,87.4,100.0,74.7,57.5,57.5,79.9,79.9
Nicaragua,39.2,40.2,41.7,53.5,24.1,51.4,42.8,43.9,42.0,34.5,34.5,11.4,11.4,38.6,59.6,93.1,93.9,7.5,68.4,0.0,89.5,48.9,20.1,15.7,54.9,64.1,12.3,11.7,12.9,,38.0,37.6,29.8,,22.2,52.1,60.5,43.8,65.2,80.2,96.5,64.0,24.1,24.1,0.0,0.0
Niger,30.8,17.1,30.3,48.6,5.4,28.5,1.4,1.3,1.6,27.3,27.3,1.0,1.0,39.9,77.6,85.5,83.9,,25.6,89.8,92.6,73.8,97.7,100.0,53.1,100.0,,,,,12.5,2.0,23.3,,19.2,23.5,0.0,49.4,81.9,0.9,0.0,1.9,33.6,33.6,0.0,0.0
Nigeria,31.0,13.9,18.0,21.4,11.7,30.9,4.9,6.0,4.2,51.5,51.5,7.7,7.7,42.4,53.6,78.3,62.1,0.0,32.3,83.9,89.0,50.4,23.4,20.6,38.0,59.4,10.9,15.5,6.3,,50.8,36.1,84.4,89.8,33.5,37.1,28.0,61.5,80.9,66.3,73.6,59.0,39.0,39.0,0.2,0.2
North Macedonia,55.4,43.6,26.5,18.3,34.5,53.6,61.1,65.4,58.1,46.7,46.7,72.1,72.1,63.2,62.1,51.4,70.5,,36.6,76.4,93.3,46.5,42.3,42.0,70.5,19.9,,,,,75.2,81.0,56.1,95.4,70.6,58.9,67.6,68.5,44.3,100.0,100.0,100.0,40.9,40.9,0.9,0.9
Norway,77.7,98.5,97.9,100.0,100.0,58.7,100.0,100.0,100.0,94.0,94.0,97.6,97.6,63.8,71.5,81.6,83.0,43.8,47.7,92.7,86.7,71.3,32.1,30.5,56.0,38.0,9.8,11.9,,7.3,78.9,72.5,100.0,100.0,79.0,100.0,54.7,67.9,13.3,99.2,100.0,98.4,39.3,39.3,64.3,64.3
Oman,38.5,43.4,36.4,11.7,70.8,32.7,58.3,76.2,46.3,37.0,37.0,0.0,0.0,35.2,28.2,15.1,14.0,0.4,3.5,99.4,42.6,77.2,67.0,,100.0,34.1,24.5,25.7,23.2,,32.0,26.2,46.4,89.6,6.1,0.0,0.0,27.0,2.7,60.0,100.0,19.9,50.6,50.6,13.4,13.4
Pakistan,33.1,14.6,9.9,8.5,12.9,1.3,17.4,20.9,15.1,23.0,23.0,31.1,31.1,45.3,46.1,62.0,55.1,6.9,9.4,85.6,62.0,56.2,80.9,83.7,56.2,54.4,7.6,6.2,9.1,,50.6,42.7,40.3,95.9,45.1,57.4,92.2,45.1,73.9,58.8,60.9,56.7,35.1,35.1,0.1,0.1
Panama,47.3,50.4,56.0,61.7,47.3,62.7,43.5,46.5,41.6,57.5,57.5,42.0,42.0,45.2,60.4,92.7,75.3,9.3,44.8,80.3,78.9,45.8,33.1,33.0,45.1,24.2,9.1,6.2,11.9,,50.3,36.0,88.7,,71.7,32.2,73.6,72.9,56.6,66.1,72.4,59.9,25.6,25.6,23.1,23.1
Papua New Guinea,32.4,28.4,33.9,49.4,4.8,95.3,15.5,15.4,15.6,60.3,60.3,43.9,43.9,35.1,27.3,17.9,11.6,1.2,13.3,94.6,25.4,78.3,34.2,34.0,38.4,,13.1,3.1,5.8,33.3,47.6,27.6,74.2,90.1,68.7,49.8,37.4,68.0,79.0,58.2,75.2,41.1,31.3,31.3,0.0,0.0
Paraguay,46.4,46.8,47.0,59.0,30.5,46.8,47.5,51.1,45.1,51.2,51.2,35.0,35.0,46.2,62.8,82.9,84.1,,19.9,0.0,85.4,63.4,20.2,16.6,54.8,49.3,,,,,40.9,38.8,36.5,,27.8,81.0,48.6,45.8,42.5,70.5,98.3,42.8,77.9,77.9,0.7,0.7
Peru,44.0,45.1,46.0,47.6,40.4,72.9,43.0,43.7,42.6,68.2,68.2,30.0,30.0,43.2,59.5,85.6,81.7,1.6,56.7,74.7,67.9,58.1,37.0,35.6,55.5,43.0,18.7,25.1,8.1,23.6,41.3,27.9,58.1,89.7,60.3,16.6,36.0,41.4,59.4,41.0,69.1,12.9,37.1,37.1,46.4,46.4
Philippines,38.4,34.1,30.4,34.2,19.7,75.4,39.0,45.9,34.3,48.0,48.0,17.4,17.4,41.4,56.6,87.5,92.2,9.3,23.0,42.6,74.2,48.5,31.9,28.1,100.0,,12.3,8.5,10.2,19.1,42.8,21.5,65.9,95.0,54.7,66.4,42.9,52.1,74.1,68.4,84.8,51.9,44.1,44.1,0.7,0.7
Poland,60.9,58.9,44.7,40.7,49.7,48.7,71.7,80.9,65.6,65.3,65.3,91.1,91.1,62.3,89.0,100.0,100.0,100.0,48.3,92.5,100.0,48.9,27.1,23.9,65.8,45.7,8.0,2.6,17.3,3.4,65.4,61.0,72.4,86.1,83.7,66.2,55.5,59.9,20.6,89.6,100.0,79.3,57.4,57.4,60.9,60.9
Portugal,67.0,83.4,84.4,86.4,85.8,51.6,83.4,80.3,85.5,65.3,65.3,90.2,90.2,56.1,73.0,100.0,100.0,41.1,42.0,72.8,94.1,38.6,7.4,2.0,70.5,41.5,33.1,1.6,45.6,55.2,63.3,57.9,91.1,67.4,83.0,94.2,45.3,6.1,28.1,93.5,100.0,87.0,22.3,22.3,55.0,55.0
Qatar,37.1,56.9,48.6,13.0,100.0,28.5,66.5,81.0,56.8,59.2,59.2,60.2,60.2,23.9,41.3,63.4,63.4,0.0,3.1,76.5,2.8,76.4,0.0,,,0.0,6.4,,6.4,,12.1,11.1,0.0,,0.0,0.0,,90.8,0.0,64.4,93.2,35.6,26.6,26.6,70.0,70.0
Republic of Congo,30.8,18.1,20.0,20.0,18.7,30.1,14.6,14.9,14.4,45.1,45.1,0.0,0.0,39.2,71.7,100.0,100.0,17.1,27.6,93.3,88.4,73.3,35.8,36.2,28.3,36.2,11.4,,11.4,,37.1,8.3,100.0,89.5,58.1,0.0,32.9,63.5,68.8,0.0,0.0,0.0,34.3,34.3,0.3,0.3
Romania,64.7,50.0,43.6,41.1,44.7,63.0,55.9,56.8,55.3,51.4,51.4,65.8,65.8,74.4,85.0,96.3,97.6,100.0,34.7,84.9,98.2,44.2,40.9,38.4,60.5,66.6,54.5,,100.0,1.4,84.6,83.2,100.0,89.2,100.0,62.4,70.9,78.7,45.2,100.0,100.0,100.0,65.7,65.7,30.4,30.4
Russia,50.5,53.0,54.1,46.9,63.7,56.2,55.4,55.1,55.7,72.2,72.2,3.2,3.2,48.8,54.1,52.9,56.4,18.0,22.5,89.5,94.9,79.4,28.6,26.3,55.1,43.0,4.3,3.8,6.6,2.2,59.9,56.9,59.8,86.0,52.7,100.0,53.9,36.2,9.2,81.0,75.7,86.3,60.5,60.5,18.5,18.5
Rwanda,33.8,24.4,30.9,45.2,11.8,26.3,16.9,16.9,16.9,45.2,45.2,0.0,0.0,40.0,57.4,51.5,54.7,,29.5,94.0,76.0,47.3,28.4,26.3,36.7,57.9,,,,,35.9,14.2,50.6,89.4,41.0,51.9,34.1,71.5,100.0,50.5,52.8,48.2,39.4,39.4,0.0,0.0
Saint Lucia,43.1,47.8,46.3,36.1,53.7,100.0,45.4,50.3,42.1,51.8,51.8,77.5,77.5,40.0,36.9,59.6,29.5,1.8,66.6,,,46.8,50.7,47.9,,100.0,16.2,,16.2,,54.8,50.7,68.3,95.3,22.1,30.2,70.0,26.5,60.5,36.7,36.9,36.5,6.4,6.4,0.9,0.9
Saint Vincent and the Grenadines,48.4,44.1,42.6,32.1,50.0,100.0,43.5,47.4,41.0,34.7,34.7,72.8,72.8,51.3,47.6,68.4,63.7,2.1,70.2,,,42.6,56.5,57.2,100.0,0.0,18.5,,18.5,,70.2,67.2,88.3,89.4,70.8,36.2,60.0,50.4,68.5,38.9,38.6,39.2,35.4,35.4,0.8,0.8
Samoa,37.3,42.4,33.4,46.3,14.4,43.2,49.2,62.5,40.3,68.6,68.6,51.7,51.7,33.9,29.9,42.5,42.5,0.9,1.5,,,65.8,,,,,54.3,8.6,100.0,,35.0,30.8,48.7,,32.0,55.5,,5.9,67.3,44.0,58.5,29.6,27.7,27.7,0.3,0.3
Sao Tome and Principe,37.6,28.7,24.6,30.8,16.0,25.8,35.2,37.1,34.0,45.0,45.0,0.0,0.0,43.6,58.4,100.0,100.0,0.0,29.6,,,37.2,100.0,100.0,,100.0,17.2,19.9,14.5,,35.0,27.3,32.9,,18.4,50.7,,97.4,95.8,47.1,56.4,37.9,18.2,18.2,0.3,0.3
Saudi Arabia,44.0,47.2,37.4,10.0,76.2,29.0,59.3,71.9,50.9,35.4,35.4,61.4,61.4,41.8,38.8,28.0,28.0,20.7,6.0,97.5,56.6,74.2,96.9,100.0,38.5,100.0,18.5,12.3,24.7,,37.5,32.8,44.8,90.9,35.2,6.3,0.0,30.7,0.0,34.7,32.2,37.1,64.3,64.3,11.8,11.8
Senegal,30.7,20.4,25.4,33.8,12.3,38.1,13.1,13.4,12.9,47.7,47.7,0.9,0.9,37.6,68.7,100.0,100.0,6.9,38.9,97.0,84.0,53.1,25.8,22.7,46.4,61.1,12.8,9.9,20.6,7.1,30.3,15.0,61.7,,63.3,8.0,70.3,46.8,82.4,49.5,52.9,46.2,38.6,38.6,0.5,0.5
Serbia,55.2,47.8,33.6,28.1,38.7,53.4,65.5,73.3,60.3,51.1,51.1,44.7,44.7,60.2,57.4,50.3,50.3,,31.4,86.7,96.8,42.8,45.8,44.5,58.8,56.6,,,,,68.1,57.2,99.8,89.8,96.0,89.5,41.9,34.9,23.1,89.0,78.8,99.2,69.9,69.9,1.7,1.7
Seychelles,58.2,50.8,53.6,39.2,72.3,62.4,51.4,60.1,45.7,68.6,68.6,0.0,0.0,63.1,78.9,100.0,100.0,100.0,7.5,,,23.6,84.3,83.5,100.0,,18.1,8.9,27.2,,70.7,83.7,19.6,,46.4,93.3,,95.8,43.5,86.3,96.1,76.5,8.8,8.8,1.6,1.6
Sierra Leone,25.7,19.1,25.1,37.3,7.0,36.9,11.5,11.7,11.4,37.4,37.4,0.0,0.0,30.2,52.9,54.5,92.9,6.0,14.8,77.9,80.9,48.8,9.6,3.8,63.6,58.7,18.7,31.1,6.4,,24.9,7.9,26.4,89.4,14.9,52.8,0.0,36.4,99.3,40.1,49.3,30.9,42.7,42.7,0.0,0.0
Singapore,58.1,85.0,76.9,61.8,100.0,57.4,93.2,100.0,88.7,85.4,85.4,99.6,99.6,40.2,20.9,29.2,29.2,0.0,5.0,,,45.1,18.4,18.4,,,71.4,,46.8,100.0,40.2,28.7,40.3,91.3,100.0,31.5,24.7,34.6,11.9,79.5,100.0,59.0,19.7,19.7,100.0,100.0
Slovakia,68.3,64.3,56.2,43.1,75.2,49.7,71.8,82.8,64.5,69.2,69.2,80.6,80.6,70.9,85.0,100.0,100.0,,46.2,86.4,100.0,47.3,32.1,26.3,68.1,100.0,,,,,71.9,69.0,79.5,87.5,100.0,61.6,48.5,64.2,30.5,100.0,100.0,100.0,68.8,68.8,43.7,43.7
Slovenia,72.0,68.9,60.9,62.5,60.6,45.6,74.7,81.4,70.1,88.1,88.1,83.8,83.8,74.1,86.4,100.0,100.0,,55.8,84.0,100.0,51.0,37.1,31.9,68.8,100.0,,,,,75.2,70.9,100.0,91.4,79.2,66.4,46.6,58.4,28.2,90.0,100.0,80.0,47.0,47.0,89.1,89.1
Solomon Islands,26.7,20.4,27.0,40.1,0.0,100.0,14.0,13.6,14.3,25.5,25.5,0.0,0.0,30.9,15.3,1.6,1.6,0.8,6.2,62.5,0.0,76.2,25.5,25.5,,,31.8,9.2,18.7,73.3,45.0,41.9,43.8,,47.8,63.9,16.7,48.4,100.0,57.5,78.4,36.6,8.6,8.6,0.0,0.0
